"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"Região Norte","24.686","51.328","19.930","28.286","18.492","24.813","19.812","36.552","48.946","55.611","98.632","115.601","42.158","49.619","48.376","31.411","37.693","21.638","17.395","35.473","23.578","40.712","51.185","36.896"
"Rondônia","3.193","1.668","1.472","2.971","3.048","5.672","4.123","3.118","5.765","18.767","20.294","3.087","3.292","8.733","1.985","2.211","7.727","2.112","529","977","3.938","2.320","14.279","10.641"
"Acre","1.295","2.050","888","954","4.422","2.196","258","518","2.129","19.085","35.162","18.074","2.393","2.568","28.269","5.317","2.158","1.820","7.146","9.904","7.675","14.962","3.570","8.438"
"Amazonas","6.343","19.249","2.188","3.971","902","998","578","1.938","8.755","1.591","7.524","61.411","5.167","17.832","6.661","3.792","7.471","3.889","2.335","3.855","5.983","8.326","5.389","6.450"
"Roraima","4.108","3.782","1.206","4.971","558","2.328","954","876","5.016","3.073","7.590","1.376","1.874","945","1.123","1.097","209","283","109","1.585","488","116","62","237"
"Tocantins","1.242","4.803","1.969","1.869","1.477","3.293","5.692","12.682","10.122","4.029","9.252","10.461","11.617","8.648","3.652","7.894","7.665","4.867","2.797","13.578","1.901","9.572","21.015","3.818"
"Região Nordeste","70.091","149.582","266.772","150.216","21.783","74.625","68.256","124.869","207.808","125.296","176.854","191.894","222.913","152.471","89.935","327.212","316.917","83.602","65.661","212.661","149.594","130.663","245.780","107.307"
"Maranhão","3.613","6.235","8.360","5.836","1.580","6.537","4.931","13.354","5.734","2.251","5.778","11.855","5.325","3.602","2.652","7.943","23.633","7.132","2.135","5.661","2.563","1.368","7.301","5.023"
"Rio Grande do Norte","16.563","37.431","21.761","20.766","2.605","4.730","8.138","12.994","35.600","2.654","7.846","23.326","28.778","18.908","11.498","22.700","56.517","7.337","23.550","31.744","6.881","3.841","42.109","7.889"
"Paraíba","32","14.947","18.618","12.780","1.340","5.772","3.051","10.732","8.442","951","6.667","12.461","8.771","13.485","5.625","23.426","35.285","3.806","10.805","18.781","6.687","16.099","29.430","7.382"
"Pernambuco","24.785","13.233","99.653","15.165","2.276","5.389","8.298","22.380","20.137","2.882","34.590","19.023","31.799","7.997","10.488","110.899","59.532","7.783","11.131","37.772","20.066","36.431","17.417","8.916"
"Alagoas","915","1.980","7.442","6.083","4.455","2.610","3.036","10.566","13.740","3.978","47.358","8.955","28.123","11.303","13.186","27.130","17.984","2.912","2.191","20.929","2.329","7.618","33.327","4.249"
"Sergipe","6.786","3.490","5.133","4.725","421","649","1.118","1.485","29.645","1.824","803","3.766","4.558","805","2.246","9.141","3.370","583","229","5.960","1.845","764","5.410","3.308"
"Bahia","9.318","27.996","77.426","42.154","4.407","17.779","6.660","9.343","37.425","98.867","45.429","39.042","48.473","61.117","13.827","55.211","66.072","9.704","9.591","67.593","82.954","25.094","36.205","48.039"
"Região Sudeste","32.906","159.461","355.587","64.482","21.219","20.935","124.812","206.151","325.403","113.259","478.003","350.011","251.738","919.394","311.639","1.047.279","847.584","52.667","71.955","1.014.698","299.246","183.054","464.951","935.745"
"Minas Gerais","8.003","31.955","38.082","14.213","13.602","10.929","28.999","28.287","52.088","55.146","214.552","37.929","29.456","417.066","58.177","192.779","522.745","25.949","28.956","476.916","81.944","22.278","91.332","408.395"
"Espírito Santo","17.497","7.618","24.726","28.115","3.420","2.662","9.267","6.790","25.357","38.146","26.081","38.622","11.961","68.323","18.879","35.441","41.489","6.732","10.153","64.310","7.294","32","11223","138.418"
"Rio de Janeiro","3.220","61.401","248.493","5.470","1.152","1.184","26.168","56.202","235.353","7.964","29.824","165.706","181.169","213.070","7.717","73.437","85.095","10.782","14.755","31.941","4.441","2.846","11.314","49.330"
"São Paulo","4.186","58.487","44.286","16.684","3.045","6.160","60.378","114.872","12.605","12.003","207.546","107.754","29.152","220.935","226.866","745.622","198.255","9.204","18.091","441.531","205.567","157.898","351.082","339.602"
"Região Sul","1.242","1.674","7.926","11.108","186","1.140","1.350","27.772","2.166","1.641","42.008","30.440","4.772","67.091","22.988","51.681","70.084","2.519","1.692","48.543","279.165","65.108","315.711","395.614"
"Santa Catarina","23","38","293","58","14","49","57","149","104","49","189","154","94","358","134","4.441","5.037","177","183","2.096","11.807","19.508","85.476","144.369"
"Rio Grande do Sul","35","55","436","59","20","41","70","423","138","67","3.646","350","170","445","153","1.698","3.141","176","127","1.663","3.992","10.878","68.753","38.657"
"Região","6.303","23.757","46.262","20.892","8.495","25.530","45.159","101.579","48.357","110.462","216.051","51.424","68.010","266.296","116.169","231.105","211.345","78.963","105.891","234.087","196.950","112.385","342.632","183.254"
"Mato Grosso do","4.194","9.334","12.182","2.091","311","617","11.360","69.412","829","14.027","63.519","7.884","9.202","78.965","3.423","32.241","45.309","2.295","5.547","65.078","52.064","9.937","26.603","46.524"
"Região Centro-Oeste","291","2.362","8.978","9.408","2.294","6.524","9.455","16.227","7.052","52.219","35.443","6.204","32.856","35.204","7.160","21.583","19.941","9.228","7.203","10.984","34.867","22.361","35.453","28.424"
"Mato Grosso do Sul","1.618","10.530","21.936","8.504","5.635","18.058","23.876","14.820","39.075","43.411","102.071","34.161","24.517","140.169","93.929","167.427","128.429","63.494","90.722","119.616","62.843","63.762","210.460","69.719"
"Distrito Federal","200","1.531","3.166","889","255","331","468","1.120","1.401","805","15.018","3.175","1.435","11.958","11.657","9.854","17.666","3.946","2.419","38.409","47.176","16.325","70.116","38.587"
"Casos Prováveis","135.228","385.802","696.477","274.984","70.175","147.043","259.389","496.923","632.680","406.269","1.011.548","739.370","589.591","1.454.871","589.107","1.688.688","1.483.623","239.389","262.594","1.545.462","948.533","531.922","1.420.259","1.658.816"
